POSTCODE;SIZE;NUMBER_OF_ROOMS;PRICE;COORDINATES;ZBEZ
1010;350;9;7700.95;48.21367711,16.35909827;0104
1190;315;5;7221.51;48.260974,16.362053;1901
1020;309;6;6900;48.20592,16.399;0206
1090;344;6;6532.91;48.2162415,16.3478422;0903
1090;344;6;6532.91;48.2162415,16.3478422;0903
1040;289;5;6480.1;48.1982492,16.3738388;0401
1040;290;4;6480;48.197875,16.3750201;0402
1040;290;4;6479.99;48.19771586,16.37214889;0401
1040;290;4;6479.99;48.19771586,16.37214889;0401
1040;264;5;6447.18;48.19681839,16.37157616;0402
1030;345;7;6030.08;48.19536,16.39672;0305
1030;345;7;6008.29;48.19536,16.39672;0305
1040;264;5;5900;48.197875,16.3750201;0402
1040;264;5;5900;48.19771586,16.37214889;0401
1040;264;5;5900;48.19771586,16.37214889;0401
1040;264;5;5899.99;48.1982492,16.3738388;0401
1040;264;5;5899;48.1973183,16.3743749;0402
1040;264;5;5899;48.1973183,16.3743749;0402
1190;249;7;5807.28;48.2499405,16.3261549;1907
1190;250;7;5807;48.25937,16.33584;1906
1190;250;7;5807;48.25937,16.33584;1906
1190;250;7;5807;48.25937,16.33584;1906
1080;370;9;5578.8;48.20883866,16.35432667;0802
1040;287;6;5554.02;48.1965063,16.3740432;0402
1190;230;6;5500;48.265968,16.340522;1901
1090;302;7;5172.26;48.2261026,16.3543635;0904
1010;251;5;5160.68;48.2149193,16.3685538;0105
1080;341;12;5145.44;48.2151701,16.3464298;0801
1090;218;6;5018.35;48.2162415,16.3478422;0903
1080;273;4;4998;48.2151701,16.3464298;0801
1080;273;5;4998;48.2151701,16.3464298;0801
1010;212;4;4995;48.2149193,16.3685538;0105
1080;368;9;4992.9;48.20728586,16.35086805;0802
;288;6;4990;48.20263,16.36843;0103
1060;252;4;4967.35;48.1957,16.3512845;0602
1010;250;6;4899.03;48.2149193,16.3685538;0105
1090;248;4;4851.4;48.2162415,16.3478422;0903
1070;224;4;4832;48.20646388,16.35447016;0701
1070;224;4;4832;48.20646388,16.35447016;0701
1190;196;6;4785;48.2499405,16.3261549;1907
1060;252;4;4690.01;48.1953299,16.3509609;0603
1190;196;6;4675;48.23626693,16.34561193;1909
1030;234;6;4633.2;48.19768,16.39174;0309
1030;234;5;4633.2;48.19742603,16.39456813;0309
1030;234;5;4558.39;48.19742603,16.39456813;0309
1010;210;4;4532.78;48.2149193,16.3685538;0105
1180;230;0;4514.93;48.2327267,16.3439414;1801
1060;200;5;4500;48.19496801,16.35075399;0602
1010;200;5;4444.66;48.20788852,16.37317401;0101
1010;200;5;4373.35;48.2083556,16.3677601;0107
1040;230;4;4281;48.1918841,16.3710632;0402
1020;204;0;4254.18;48.21641173,16.38797258;0205
1190;184;6;4244.4;48.2499405,16.3261549;1907
1010;176;5;4171;48.2149193,16.3685538;0105
1010;176;5;4171;48.2149193,16.3685538;0105
1010;180;4;4138.11;48.2082647,16.3739206;0101
1030;184;5;4116.11;48.1990654,16.3875;0309
1040;203;7;4000;48.19380691,16.37757769;0402
1040;203;7;4000;48.19380691,16.37757769;0402
1190;203;4;3999.35;48.2550616,16.33126756;1906
1040;180;5;3999;48.1875,16.36936;0404
1010;211;3;3999;48.2149193,16.3685538;0105
1010;211;3;3999;48.2149193,16.3685538;0105
1010;220;3;3999;48.2149193,16.3685538;0105
1010;220;3;3995.71;48.2149193,16.3685538;0105
1030;223;6;3992.69;48.20529,16.38984;0302
1030;223;6;3992.69;48.20390348,16.3898342;0302
1030;223;6;3992.69;48.1941134,16.3953555;0305
1010;165;5;3990.02;48.2068964,16.3698545;0107
1010;165;5;3990;48.2068964,16.3698545;0107
1010;165;5;3990;48.20862,16.36973;0107
1010;166;5;3990;48.2068964,16.3698545;0107
1060;190;4;3990;48.2005112,16.3574135;0601
1150;214;3;3988.29;48.19279816,16.33433641;1503
1190;210;5;3985.85;48.25081334,16.30662003;1910
1190;210;5;3985.85;48.25081334,16.30662003;1910
1030;240;5;3950.76;48.1972896,16.3825149;0303
1130;240;4;3950;48.17535568,16.28261912;1306
1130;265;4;3950;48.175741,16.25863;1305
1010;176;5;3949.46;48.2149193,16.3685538;0105
1130;265;4;3949;48.18082,16.276687;1304
1010;208;6;3917.58;48.21248268,16.35792284;0104
1040;254;6;3910;48.19262056,16.36944746;0403
1010;175;5;3905;48.20341163,16.37325321;0103
1010;175;5;3905;48.20341163,16.37325321;0103
1040;230;6;3886.91;48.19560149,16.36784122;0403
1210;350;2;3853.24;48.27812614,16.40733642;2111
1130;200;5;3850;48.1857364,16.2884342;1302
1130;250;7;3850;48.183785,16.285993;1302
1130;250;7;3850;48.183785,16.285993;1302
1130;250;7;3850;48.183785,16.285993;1302
1010;210;4;3839;48.21506835,16.37077347;0105
1010;210;4;3839;48.2146,16.3729;0105
1030;224;4;3839;48.1958348,16.3984411;0306
1130;270;6;3839;48.181642,16.295559;1302
1010;210;4;3838.99;48.2082647,16.3739206;0101
1190;224;5;3826.53;48.255159,16.351996;1901
1070;210;7;3799.34;48.19847346,16.35001075;0702
1070;200;3;3795;48.2027517,16.3468288;0704
1070;200;3;3795;48.2027517,16.3468288;0704
1010;173;4;3790.01;48.20891141,16.38314735;0102
1070;200;5;3790;48.2027517,16.3468288;0704
1090;210;4;3773.67;48.21568,16.36059;0905
1090;210;4;3773.67;48.21568,16.36059;0905
1090;210;4;3773.67;48.21568,16.36059;0905
1190;185;4;3772.65;48.24963205,16.3079891;1910
1040;194;4;3752.1;48.19508459,16.3750592;0402
1060;171;5;3750;48.20041088,16.3639327;0601
1060;177;6;3750;48.19496801,16.35075399;0602
1090;180;4;3750;48.21852,16.36455;0905
1090;180;4;3750;48.21852,16.36455;0905
1090;180;4;3750;48.21852,16.36455;0905
1030;183;4;3725.29;48.197288,16.382513;0303
1090;210;4;3713.17;48.21847295,16.36154363;0905
1030;184;5;3712.12;48.1989504,16.3867432;0309
1190;159;4;3685.16;48.2499405,16.3261549;1907
1190;173;4;3660;48.24954652,16.31043075;1910
1040;192;4;3641.09;48.191884,16.371063;0402
1040;192;4;3641.09;48.19102,16.37556;0402
1010;196;5;3624.12;48.20331045,16.37575807;0103
1090;157;3;3600;48.2248956,16.356965;0901
1010;221;6;3600;48.20367256,16.37123513;0103
1190;181;4;3595;48.2554031,16.34327089;1906
1060;212;4;3593.7;48.19933121,16.3575676;0601
1010;212;4;3579.81;48.2054131,16.3783469;0102
1010;212;4;3579.81;48.2149193,16.3685538;0105
1190;190;6;3577.14;48.24921215,16.34020047;1905
1190;190;6;3577.11;48.24921215,16.34020047;1905
1190;190;6;3577.04;48.24921215,16.34020047;1905
1190;193;6;3577;48.24911743,16.34018651;1905
1010;221;4;3550;48.2082647,16.3739206;0101
1180;230;3;3542;48.2321205,16.3289576;1802
1020;155;3;3541.09;48.21744488,16.3767847;0203
1130;270;5;3510.1;48.182891,16.285361;1302
1190;146;4;3500;48.2476605,16.33898277;1905
1180;155;3;3500;48.2331984,16.3280194;1804
1010;206;3;3495;48.2149193,16.3685538;0105
1010;206;3;3495;48.21014256,16.37698298;0101
1030;220;5;3495;48.19639254,16.3876292;0305
1030;220;5;3495;48.19836187,16.3924675;0309
1030;220;5;3495;48.1941134,16.3953555;0305
1030;170;4;3494.47;48.1941134,16.3953555;0305
1170;202;4;3494.2;48.226372,16.288327;1705
1030;228;5;3492.43;48.199158,16.383933;0303
1090;158;4;3490;48.21753701,16.3644368;0905
1230;236;6;3487;48.144859,16.297634;2307
1010;144;4;3479.43;48.2068964,16.3698545;0107
1010;144;4;3479.43;48.2068964,16.3698545;0107
1010;144;4;3474.84;48.2068964,16.3698545;0107
1010;144;4;3474.84;48.2068964,16.3698545;0107
1070;297;8;3450.32;48.201717,16.3413775;0704
1010;154;4;3433.1;48.2149193,16.3685538;0105
1090;174;5;3431.94;48.22302797,16.35937284;0905
1010;153;4;3400.01;48.21442,16.3723195;0105
1010;145;5;3400;48.2149193,16.3685538;0105
1190;148;3;3393.3;48.2499405,16.3261549;1907
1020;167;4;3371.49;48.21890564,16.38948065;0201
1220;224;5;3344.89;48.23468703,16.41327218;2232
1220;224;5;3344.89;48.23468703,16.41327218;2232
1210;218;5;3341.8;48.24497,16.40068;2127
1210;218;5;3341.8;48.24497,16.40068;2127
1210;218;5;3341.8;48.24497,16.40068;2127
1130;180;4;3297.23;48.17535568,16.28261912;1306
1130;180;4;3297.23;48.178294,16.283866;1306
1130;185;4;3297.23;48.17956966,16.2838845;1306
1130;188;4;3297.23;48.1757408,16.2586298;1305
1130;189;4;3297.23;48.1829643,16.2907575;1302
1070;158;3;3290;48.19954,16.35049;0702
1130;185;4;3283.71;48.17956966,16.2838845;1306
1010;208;3;3275.37;48.2054131,16.3783469;0102
1040;196;3;3239.29;48.193793,16.367166;0403
1040;165;4;3204.55;48.19290219,16.36771434;0403
1020;131;4;3200;48.21520316,16.38685065;0205
1090;175;4;3200;48.21839902,16.36365035;0905
1040;189;5;3160.28;48.1918841,16.3710632;0402
1190;160;5;3127.3;48.2659678,16.3405223;1901
1020;183;4;3100;48.2091041,16.415049;0206
1190;134;4;3099.01;48.23802225,16.33549469;1909
1190;132;5;3099;48.2571477,16.3397363;1906
1020;150;2;3081.19;48.21890564,16.38948065;0201
1190;138;0;3053.23;48.25419433,16.35337681;1901
1190;138;0;3053.23;48.25419433,16.35337681;1901
1030;129;4;3000.13;48.19070326,16.3827804;0303
1020;150;5;3000;48.21591784,16.38611922;0205
1190;162;5;3000;48.2659678,16.3405223;1901
1040;175;5;3000;48.20025,16.37118;0103
1040;175;5;3000;48.20025,16.37118;0103
1020;187;4;3000;48.21890564,16.38948065;0201
1020;189;4;3000;48.22236213,16.37323523;0203
1190;200;3;2999.89;48.2499405,16.3261549;1907
1080;179;3;2999;48.20795564,16.34271333;0803
1090;144;3;2998.99;48.2225468,16.3672126;0902
1190;130;4;2998.95;48.2499405,16.3261549;1907
1070;183;4;2996;48.20322954,16.34679923;0704
1040;178;4;2995.01;48.1904667,16.3761611;0402
1190;145;4;2995;48.2499405,16.3261549;1907
1010;160;3;2995;48.2082647,16.3739206;0101
1010;160;3;2995;48.2149193,16.3685538;0105
1040;175;5;2995;48.19912656,16.36996847;0401
1030;129;4;2990;48.1918146,16.3848094;0303
1190;227;7;2990;48.23682,16.35128;1904
1190;227;7;2990;48.23682,16.35128;1904
1190;226;7;2989;48.23682,16.35128;1904
1040;150;4;2988.34;48.19195,16.37497;0402
1040;150;4;2988.34;48.19195,16.37497;0402
1040;150;4;2988.34;48.19195,16.37497;0402
1030;155;4;2967.58;48.197288,16.382513;0303
1010;146;3;2965.09;48.21034236,16.3749399;0101
1190;212;6;2964.19;48.25087,16.35447;1905
1010;138;4;2956.48;48.2107505,16.36955737;0106
1040;187;4;2952.7;48.18882452,16.37139275;0404
1040;187;3;2952.7;48.18882452,16.37139275;0404
1020;123;4;2950;48.21546,16.38531;0205
1020;123;4;2950;48.21546,16.38531;0205
1020;123;4;2950;48.21546,16.38531;0205
1040;147;5;2950;48.19331752,16.37311543;0402
1160;167;6;2950;48.21677,16.283769;1609
1130;180;5;2950;48.166908,16.256631;1310
1180;172;4;2949.19;48.22379571,16.33914034;1803
1030;167;5;2948;48.194113,16.395355;0305
1140;249;6;2915;48.20285,16.20576;1412
1040;179;4;2903.45;48.19551,16.36171;0403
1010;170;5;2900.7;48.20167235,16.37265198;0103
1190;138;4;2900;48.2499405,16.3261549;1907
1130;203;5;2899.72;48.185907,16.290485;1302
1190;147;4;2899;48.2499405,16.3261549;1907
1010;195;4;2899;48.20773982,16.36694403;0107
1030;174;5;2898.31;48.20165999,16.38310682;0303
1020;133;4;2895;48.2224016,16.3824056;0202
1190;145;4;2895;48.2499405,16.3261549;1907
1090;147;4;2890.87;48.2188984,16.360434;0905
1040;155;4;2890;48.19715,16.3652;0403
1230;247;6;2886.49;48.14973066,16.26656599;2314
1190;118;3;2865.74;48.2499405,16.3261549;1907
1010;121;3;2861.98;48.2146537,16.371128;0105
1050;190;6;2852.39;48.18455,16.34577;0503
1010;155;4;2851.84;48.208385,16.3761057;0101
1010;155;4;2851.84;48.2085,16.3763;0101
1010;155;4;2851.84;48.2082647,16.3739206;0101
1190;156;6;2850;48.2542697,16.292146;1910
1030;117;4;2847.9;48.1958348,16.3984411;0306
1180;153;5;2840;48.237245,16.31288;1805
1030;149;3;2838.77;48.1994015,16.3839029;0303
1030;149;4;2838.77;48.2010763,16.38604829;0309
1030;149;4;2838.77;48.2010763,16.38604829;0309
1030;149;4;2838.77;48.1994099,16.3839011;0303
1190;169;4;2833.41;48.2489173,16.3287072;1907
1010;115;3;2824.79;48.2082647,16.3739206;0101
1220;130;5;2800;48.23495,16.41196;2232
1010;130;4;2800;48.2149193,16.3685538;0105
1040;150;4;2800;48.19262056,16.36944746;0403
1040;162;3;2800;48.19262056,16.36944746;0403
1040;162;3;2800;48.19515,16.36541;0403
1040;162;3;2800;48.19515,16.36541;0403
1080;165;4;2800;48.21172,16.34199;0803
1080;165;3;2800;48.21172,16.34199;0803
1180;168;5;2800;48.2367177,16.3076737;1805
1180;168;5;2800;48.2367177,16.3076737;1805
1080;198;6;2800;48.20678301,16.34905324;0802
1080;198;6;2800;48.20678301,16.34905324;0802
1080;198;6;2800;48.20678301,16.34905324;0802
1080;198;6;2800;48.20678301,16.34905324;0802
1160;231;5;2800;48.2151781,16.3033805;1606
1160;284;0;2800;48.2098407,16.3256819;1610
1090;174;4;2799.07;48.22275556,16.35979497;0905
1190;128;4;2795.37;48.246344,16.310621;1910
1010;126;3;2795.01;48.2082647,16.3739206;0101
1010;126;3;2795;48.2149193,16.3685538;0105
1030;200;5;2795;48.1958348,16.3984411;0306
1030;200;5;2795;48.1958348,16.3984411;0306
1030;165;4;2794.6;48.19839534,16.39214206;0309
1190;123;2;2790;48.259061,16.3628423;1901
1190;125;4;2783.69;48.2565351,16.3540561;1901
1040;160;5;2775.42;48.19087156,16.36713737;0403
1190;199;5;2766.5;48.2374008,16.3328748;1910
1180;167;5;2762.99;48.2333822,16.3228152;1804
1020;160;3;2760;48.20592,16.399;0206
1030;210;5;2760;48.1958348,16.3984411;0306
1070;127;4;2750;48.19658,16.34237;0703
1040;136;4;2750;48.1880981,16.3725817;0404
1070;141;4;2750;48.2018184,16.3432162;0704
1040;163;4;2750;48.192754,16.3786254;0303
1040;204;3;2750;48.19522711,16.36535231;0403
1040;204;3;2750;48.19523,16.3678;0403
1130;219;6;2750;48.18448379,16.29565477;1302
1090;138;4;2749.16;48.2162415,16.3478422;0903
1130;156;4;2746.74;48.17535568,16.28261912;1306
1090;139;4;2742.4;48.21900899,16.35758139;0905
1090;139;4;2742.4;48.21839878,16.35810711;0905
1090;139;4;2742.4;48.21839878,16.35810711;0905
1180;133;5;2724.87;48.22344,16.33665;1803
1030;143;3;2719.25;48.1994015,16.3839029;0303
1190;142;4;2701.63;48.2499405,16.3261549;1907
1190;150;4;2700.32;48.2370833,16.3327348;1910
1010;130;4;2700.18;48.2149193,16.3685538;0105
1010;129;5;2700;48.20433558,16.37646666;0102
1090;150;4;2700;48.22185002,16.35362987;0906
1010;160;4;2700;48.2082647,16.3739206;0101
1040;163;4;2700;48.19397001,16.37581038;0402
1090;184;5;2697.93;48.22275556,16.35979497;0905
1010;123;2;2695;48.2082647,16.3739206;0101
1010;123;2;2695;48.2149193,16.3685538;0105
1040;142;4;2695;48.19262056,16.36944746;0403
1040;142;4;2695;48.1969268,16.36132836;0403
1090;149;4;2695;48.22601684,16.35510223;0901
1090;149;4;2695;48.2223847,16.3562708;0901
1090;150;4;2695;48.2162415,16.3478422;0903
1070;125;5;2690.7;48.19747,16.34406;0703
1010;110;4;2690;48.21215,16.36897;0106
1040;131;3;2690;48.18758,16.37313;0404
1060;147;4;2690;48.1997,16.363;0601
1180;113;4;2689.59;48.22344,16.33665;1803
1230;246;6;2687.31;48.14836894,16.26982378;2314
1010;130;4;2678.71;48.207198,16.368444;0107
1010;119;5;2661.3;48.21,16.36959;0106
1090;147;4;2659;48.21553,16.35642;0906
1040;143;5;2652.68;48.192754,16.3786254;0303
1180;126;4;2650;48.23387908935547,16.321849822998047;1804
1190;148;4;2649.92;48.2499405,16.3261549;1907
1130;138;4;2649.2;48.1844482,16.2624994;1304
1130;138;4;2649.2;48.1844482,16.2624994;1304
1190;110;4;2646.8;48.2398082,16.3458882;1909
1090;206;6;2644.08;48.22464807,16.36393429;0902
1040;146;0;2639.86;48.1918841,16.3710632;0402
1090;139;4;2635.37;48.2187091,16.3593867;0905
1090;139;4;2635.37;48.21900899,16.35758139;0905
1090;139;4;2635.37;48.21839878,16.35810711;0905
1070;193;0;2635.09;48.20346347,16.34985771;0701
1130;214;6;2624.72;48.18155869,16.29932574;1302
1070;141;5;2622.07;48.19996919,16.34778384;0703
1010;135;4;2618.24;48.208265,16.373921;0101
1080;172;6;2610.92;48.21004,16.347007;0802
1080;172;5;2610.92;48.2094552,16.3505718;0802
1080;172;5;2610.92;48.2090843,16.3508969;0802
1030;120;3;2606.85;48.1991805,16.3790952;0303
1190;145;4;2604.08;48.23752745,16.34249952;1909
1010;110;3;2600;48.2111714,16.3752918;0107
1030;118;3;2600;48.1941134,16.3953555;0305
1030;145;0;2600;48.20564889,16.39513679;0301
1180;183;6;2600;48.23250087,16.3371252;1801
1030;118;3;2599.99;48.20013823,16.38513676;0309
1030;118;3;2599;48.20127,16.38325;0303
1220;151;4;2597.38;48.2276,16.4159;2211
1060;111;3;2595.12;48.19616507,16.34954966;0603
1060;111;3;2595;48.19591,16.34876;0603
1060;111;3;2595;48.19591,16.34876;0603
1070;133;4;2595;48.2023698,16.3490536;0701
1070;133;3;2595;48.19898483,16.34848737;0703
1070;133;3;2595;48.19910703,16.34730227;0703
1040;142;4;2595;48.1969268,16.36132836;0403
1020;147;4;2595;48.21890564,16.38948065;0201
1020;147;4;2595;48.2159151,16.3784005;0204
1020;147;4;2595;48.21724173,16.37486854;0203
1040;165;3;2595;48.19271847,16.37812123;0402
1040;165;3;2595;48.19271847,16.37812123;0402
1040;165;3;2595;48.1904667,16.3761611;0402
1040;165;3;2595;48.1904667,16.3761611;0402
1040;165;3;2595;48.1918841,16.3710632;0402
1070;133;3;2588.59;48.2005289,16.35041614;0702
1180;131;4;2587.39;48.23135074,16.33838121;1801
1040;164;5;2587.3;48.18601708,16.37185454;0404
1090;112;4;2587.01;48.2248956,16.356965;0901
1090;112;4;2587.01;48.2248956,16.356965;0901
1230;247;5;2581.74;48.15010931,16.2669629;2314
1020;141;3;2580;48.20592,16.399;0206
1010;143;4;2575.94;48.2108,16.3798;0101
1010;143;4;2575.94;48.21043718,16.37823932;0101
1090;166;5;2574.11;48.2248956,16.356965;0901
1010;148;3;2561.7;48.2065294,16.3697017;0107
1010;145;5;2561.37;48.2082647,16.3739206;0101
1010;130;3;2560;48.2104317,16.3758234;0101
1010;119;3;2557.17;48.20899753,16.38011246;0102
1010;128;4;2555.77;48.2149193,16.3685538;0105
1010;128;4;2555.77;48.2149193,16.3685538;0105
1060;127;4;2550;48.1914865,16.3518868;0602
1060;127;4;2550;48.19180868,16.3506945;0602
1060;168;5;2550;48.1990369,16.3564493;0601
1030;117;3;2549.69;48.1941134,16.3953555;0305
1010;119;4;2549.21;48.2100056,16.3786517;0101
1010;130;3;2545.23;48.208265,16.373921;0101
1010;135;3;2539.99;48.2149193,16.3685538;0105
1190;146;5;2538.22;48.2553061,16.35384087;1901
1100;130;4;2537.99;48.16892221,16.38041897;1003
1010;131;3;2537.15;48.2058368,16.37256865;0101
1090;162;4;2534.37;48.2236893,16.357657;0905
1010;138;4;2531.55;48.20141386,16.37752422;0103
1010;106;2;2531.41;48.21442,16.3723195;0105
1100;131;3;2530;48.17769,16.37793;1022
1010;148;4;2530;48.2039384,16.3713605;0101
1120;133;4;2527.58;48.1717869,16.3209877;1207
1220;110;4;2518.22;48.22496492,16.47620776;2205
1090;168;4;2518;48.21734,16.3608;0905
1190;128;4;2514.58;48.24129,16.34687;1904
1150;145;5;2512.04;48.193432,16.3168886;1402
1010;115;3;2509.39;48.2149193,16.3685538;0105
1060;174;5;2500.01;48.20000934,16.35943911;0601
1060;174;5;2500.01;48.20000934,16.35943911;0601
1080;119;4;2500;48.2151701,16.3464298;0801
1170;120;4;2500;48.22137723,16.32950542;1701
1190;125;4;2500;48.24340694,16.34919047;1904
1010;128;4;2500;48.21050412,16.3692768;0106
1010;130;4;2500;48.207198,16.368444;0107
1190;130;4;2500;48.25335301,16.30254872;1910
1010;138;3;2500;48.21386236,16.37431423;0107
1080;140;4;2500;48.21324,16.34416;0803
1020;142;4;2500;48.2260658,16.38970328;0201
1190;142;3;2500;48.250608,16.337095;1906
1040;146;4;2500;48.19262056,16.36944746;0403
1020;150;4;2500;48.2145,16.38484;0205
1190;150;5;2500;48.2370833,16.3327348;1910
1130;180;6;2500;48.18995,16.28156;1303
1170;185;6;2500;48.22137723,16.32950542;1701
1190;128;3;2499.99;48.24129,16.34687;1904
1040;157;5;2499.01;48.19262056,16.36944746;0403
1090;150;4;2499;48.2213403,16.3509191;0904
1030;124;4;2498.99;48.19820418,16.3800681;0303
1010;128;4;2498.9;48.2122486,16.3679241;0106
1180;138;3;2498.36;48.23790253,16.32106822;1805
1050;166;5;2498.16;48.1925498,16.3586083;0501
1060;127;4;2498;48.1943142,16.3539616;0602
1060;127;4;2498;48.19496801,16.35075399;0602
1060;127;4;2498;48.1914694,16.35335537;0602
1090;145;4;2497;48.21928129,16.3506617;0903
1060;127;4;2496.91;48.1939599,16.3540075;0602
1180;143;5;2496.15;48.242473,16.30886;1805
1180;146;5;2496.15;48.24482083,16.30073975;1805
1050;166;5;2495.26;48.1925498,16.3586083;0501
1090;149;4;2495;48.2223847,16.3562708;0901
1040;165;3;2495;48.19295349,16.3783243;0402
1040;165;3;2495;48.1904667,16.3761611;0402
1200;172;6;2495;48.22816,16.37141;2003
1040;165;3;2494.9;48.1904667,16.3761611;0402
1190;109;4;2490;48.2574418,16.3613282;1901
1010;115;3;2489.79;48.208265,16.373921;0101
1060;165;4;2487.69;48.1982977,16.3501273;0601
1040;160;0;2485.44;48.1965063,16.3740432;0402
1230;128;5;2480;48.1509,16.26792;2314
1040;160;3;2479.28;48.19785956,16.37456029;0402
1040;160;0;2479.28;48.1965063,16.3740432;0402
1220;211;5;2475;48.221412,16.4830734;2205
1210;220;6;2475;48.28307285,16.41212802;2111
1120;108;3;2474.78;48.17270397,16.3332408;1208
1040;121;4;2470;48.18983167,16.37552105;0402
1020;103;4;2460;48.224307,16.391964;0201
1020;103;4;2460;48.224307,16.391964;0201
1020;103;4;2460;48.224307,16.391964;0201
1010;121;3;2459.52;48.20371968,16.37418873;0103
1010;121;3;2459.52;48.20587383,16.37637419;0102
1010;121;3;2459.52;48.2149193,16.3685538;0105
1010;128;4;2459.38;48.2082647,16.3739206;0101
1120;133;4;2458.94;48.17198,16.32911;1208
1080;142;4;2457.01;48.2133829,16.3497124;0801
1010;137;3;2450;48.21147813,16.35675759;0104
1180;162;0;2450;48.24380274,16.30213471;1805
1040;172;5;2450;48.19262056,16.36944746;0403
1040;172;5;2450;48.19262056,16.36944746;0403
1040;172;5;2450;48.19262056,16.36944746;0403
1040;172;5;2450;48.19262056,16.36944746;0403
1040;172;5;2450;48.19195,16.36716;0403
1030;194;0;2450;48.1832641,16.3923392;0308
1040;104;3;2449.45;48.19569746,16.37259128;0402
1040;104;3;2449.45;48.19569746,16.37259128;0402
1030;117;3;2443.8;48.20730403,16.39287915;0301
1030;123;3;2443.8;48.2083413,16.3946696;0301
1030;123;3;2443.79;48.194113,16.395355;0305
1010;142;4;2440.98;48.20005504,16.37170288;0401
1010;142;2;2440;48.2149193,16.3685538;0105
1010;142;3;2439.98;48.2149193,16.3685538;0105
1010;142;4;2439.98;48.20161805,16.3728483;0103
1010;142;4;2439.98;48.2003424,16.3714457;0103
1010;143;3;2439.94;48.2009935,16.3699642;0103
1010;143;3;2439.87;48.2009935,16.3699642;0103
1070;122;2;2436.47;48.19988,16.34929;0702
1030;117;3;2434.26;48.194113,16.395355;0305
1180;150;4;2432.24;48.229265,16.3402533;1801
1180;150;5;2432.24;48.22686017,16.34211297;1802
1190;117;4;2432.17;48.25085571,16.35376086;1905
1010;135;3;2430.85;48.2031929,16.3721577;0103
1010;105;3;2430;48.2148252,16.3675629;0105
1010;105;3;2430;48.21452,16.36824;0105
1010;105;3;2430;48.21452,16.36824;0105
1010;105;3;2430;48.21452,16.36824;0105
1090;156;4;2426.42;48.22144228,16.36095813;0902
1040;114;4;2420;48.1899,16.3776846;0402
1040;120;4;2420;48.19035674,16.37905149;0402
1060;140;4;2420;48.1944991,16.3502336;0602
1130;206;7;2419.51;48.18995,16.28156;1303
1130;206;7;2419.51;48.18995,16.28156;1303
1010;129;4;2419.06;48.2165963,16.3705852;0105
1010;126;4;2418.13;48.2119949,16.3729336;0106
1040;113;4;2410;48.1899,16.3776846;0402
1050;155;5;2401.44;48.19571,16.35633;0501
1130;140;4;2400.01;48.18596701,16.28527378;1302
1010;106;3;2400;48.2149193,16.3685538;0105
1030;123;4;2400;48.18562834,16.41291193;0307
1190;174;5;2400;48.239634,16.348915;1909
1130;157;4;2399.38;48.17906705,16.29482031;1302
1010;129;4;2399.1;48.2162645,16.3694019;0105
1090;117;3;2399;48.2221629,16.3533186;0901
1080;131;3;2399;48.20795564,16.34271333;0803
1180;149;4;2397.52;48.22857,16.34265;1802
1030;129;4;2395;48.1958348,16.3984411;0306
1060;145;3;2395;48.19514048,16.3453358;0603
1010;130;3;2389.89;48.20923503,16.37873483;0101
1220;119;4;2389.84;48.2351828,16.4810643;2206
1040;116;4;2389;48.19476,16.37344;0402
1050;162;5;2387.85;48.19571,16.35633;0501
1080;130;4;2380;48.21464205,16.34839242;0801
1190;124;3;2374;48.2659678,16.3405223;1901
1190;124;3;2374;48.2577,16.35382;1901
1190;128;4;2370.53;48.2565351,16.3540561;1901
1030;160;6;2370;48.1958348,16.3984411;0306
1130;177;5;2366.8;48.19050506,16.28135604;1303
1180;136;3;2365;48.228841,16.347257;1802
1090;110;2;2364.3;48.2248956,16.356965;0901
1090;110;2;2364.3;48.2168453,16.3627984;0905
1090;110;2;2364.3;48.2248956,16.356965;0901
1090;110;2;2364.3;48.2168453,16.3627984;0905
1090;110;2;2364.3;48.2168453,16.3627984;0905
1070;113;3;2354.57;48.2058371,16.3442722;0705
1060;99;3;2350;48.19554,16.35082;0603
1030;110;3;2350;48.18936436,16.38127149;0303
1030;111;3;2350;48.1918146,16.3848094;0303
1030;111;3;2350;48.1918146,16.3848094;0303
1130;135;4;2350;48.18217,16.26285;1305
1090;150;0;2350;48.22384016,16.36324409;0902
1130;164;5;2349.93;48.1871848,16.2790767;1304
1130;164;5;2349.93;48.1871848,16.2790767;1304
1040;188;5;2348.07;48.1959083,16.3666338;0403
1020;150;4;2343;48.2145,16.38484;0205
1020;150;4;2343;48.21647,16.38786;0205
1050;131;3;2338.6;48.1883887,16.3501564;0504
1050;131;4;2338.6;48.18851,16.35058;0504
1050;131;4;2338.59;48.189329,16.353345;0504
1010;125;4;2333.13;48.2119949,16.3729336;0106
1030;140;4;2332.92;48.19732167,16.39871875;0306
1030;140;4;2332.92;48.19732167,16.39871875;0306
1070;126;3;2328.08;48.2027517,16.3468288;0704
1100;125;4;2320;48.1747,16.3647;1007
1100;125;4;2320;48.1747,16.3647;1007
1100;125;4;2320;48.1747,16.3647;1007
1030;130;4;2310;48.2094,16.38885;0301
1030;130;4;2310;48.2094,16.38885;0301
1030;130;4;2310;48.2094,16.38885;0301
1140;167;5;2308;48.19482,16.28608;1406
1030;142;5;2304.99;48.21248,16.3908;0301
1010;154;3;2303.39;48.20801848,16.37589812;0101
